전체주소,위도,경도
서울특별시 관악구 남현동 602-211,37.4725691303508,126.9809536259
서울특별시 관악구 남현동 602-213,37.4724392586505,126.981291559573
서울특별시 관악구 남현동 602-243,37.4731811748448,126.981445912909
서울특별시 관악구 남현동 602-244,37.4730592797348,126.981519764048
서울특별시 관악구 남현동 602-251,37.4733488867024,126.981662813351
서울특별시 관악구 남현동 602-280,37.4717896228235,126.979613198085
서울특별시 관악구 남현동 602-55,37.4741248053305,126.980347166757
서울특별시 관악구 남현동 602-60,37.4736463361627,126.980150924361
서울특별시 관악구 남현동 602-68,37.473238965372,126.978969893141
서울특별시 관악구 남현동 602-96,37.4724482080433,126.977341543827
서울특별시 관악구 봉천동 1-1116,37.4916428456616,126.959468560676
서울특별시 관악구 봉천동 1-1434,37.4912711163025,126.960074964403
서울특별시 관악구 봉천동 1-264,37.4903487682334,126.957529231083
서울특별시 관악구 봉천동 1-69,37.4902972337804,126.958296926326
서울특별시 관악구 봉천동 1-704,37.4907485382705,126.957509781875
서울특별시 관악구 봉천동 100-14,37.4822214501695,126.95841798291
서울특별시 관악구 봉천동 100-19,37.4818185593684,126.959049432475
서울특별시 관악구 봉천동 100-199,37.4819216125331,126.961391915305
서울특별시 관악구 봉천동 100-215,37.4822746462832,126.961173409208
서울특별시 관악구 봉천동 100-228,37.4824602170206,126.960788333078
서울특별시 관악구 봉천동 100-245,37.4820955438031,126.959879047903
서울특별시 관악구 봉천동 100-274,37.4812064075856,126.960351667235
서울특별시 관악구 봉천동 100-285,37.4810788940641,126.960558862531
서울특별시 관악구 봉천동 100-38,37.4831205730475,126.959473277829
서울특별시 관악구 봉천동 100-61,37.48253481295,126.959169906225
서울특별시 관악구 봉천동 100-63,37.4827409395712,126.958840552868
서울특별시 관악구 봉천동 100-66,37.4824755761115,126.959052691925
서울특별시 관악구 봉천동 100-84,37.4819368048307,126.958627193
서울특별시 관악구 봉천동 100-89,37.4819067541328,126.958492891511
서울특별시 관악구 봉천동 100-90,37.4817695174,126.958455656922
서울특별시 관악구 봉천동 100-98,37.4816201462115,126.958501416633
서울특별시 관악구 봉천동 14-109,37.4879818098484,126.959028655361
서울특별시 관악구 봉천동 148,37.47988980844,126.963571161178
서울특별시 관악구 봉천동 148-149,37.4790424791804,126.964093900585
서울특별시 관악구 봉천동 1507,37.4928353155216,126.928324769976
서울특별시 관악구 봉천동 1511-20,37.4890360385094,126.934049445237
서울특별시 관악구 봉천동 1513-15,37.4845510344063,126.950535969221
서울특별시 관악구 봉천동 1513-5,37.4845880090144,126.950186230544
서울특별시 관악구 봉천동 1514-2,37.48442403343,126.951067689886
서울특별시 관악구 봉천동 1514-4,37.4846069886442,126.951189795349
서울특별시 관악구 봉천동 1514-7,37.4843675408423,126.951506309914
서울특별시 관악구 봉천동 1515-1,37.4842875437051,126.95002259751
서울특별시 관악구 봉천동 1515-4,37.4842463126842,126.95053436106
서울특별시 관악구 봉천동 1516-3,37.4841780838418,126.951348140304
서울특별시 관악구 봉천동 1516-6,37.4840432564482,126.951041593946
서울특별시 관악구 봉천동 1516-7,37.4840288076676,126.951180447849
서울특별시 관악구 봉천동 1521-2,37.4824974777691,126.938842515505
서울특별시 관악구 봉천동 1523-4,37.4825164251404,126.937175156347
서울특별시 관악구 봉천동 1524-2,37.4821942997386,126.93851725492
서울특별시 관악구 봉천동 1524-39,37.4817475080348,126.939601321144
서울특별시 관악구 봉천동 1524-5,37.4820025918372,126.938395643719
서울특별시 관악구 봉천동 1524-8,37.4820613520652,126.938596507649
서울특별시 관악구 봉천동 1529-30,37.4800853956082,126.940805499914
서울특별시 관악구 봉천동 1533-1,37.480578460786,126.939448273954
서울특별시 관악구 봉천동 1534-27,37.480286892598,126.940330489427
서울특별시 관악구 봉천동 1535-52,37.4790156161975,126.939713977625
서울특별시 관악구 봉천동 1536-18,37.478428038124,126.939655320793
서울특별시 관악구 봉천동 1538-11,37.4788383240167,126.941015979552
서울특별시 관악구 봉천동 1557-29,37.4770929934918,126.944582656295
서울특별시 관악구 봉천동 1559-20,37.4773541313665,126.945411273142
서울특별시 관악구 봉천동 1580-3,37.476474648965,126.946379882479
서울특별시 관악구 봉천동 1582-1,37.4774509626466,126.947134735638
서울특별시 관악구 봉천동 1582-11,37.4772859237366,126.947597700588
서울특별시 관악구 봉천동 1582-3,37.477312137606,126.947180620871
서울특별시 관악구 봉천동 1584-13,37.4781834905475,126.947352758265
서울특별시 관악구 봉천동 1595-10,37.4747633587087,126.953384197838
서울특별시 관악구 봉천동 1597-31,37.4772038017428,126.953303430278
서울특별시 관악구 봉천동 1604-33,37.4782197185115,126.953604772799
서울특별시 관악구 봉천동 1605-4,37.4769991611401,126.953707163755
서울특별시 관악구 봉천동 1606-14,37.4764189656222,126.953846917304
서울특별시 관악구 봉천동 1606-8,37.4765442169251,126.953874990789
서울특별시 관악구 봉천동 1614-10,37.4775100036812,126.955745582315
서울특별시 관악구 봉천동 1615-21,37.4760468519523,126.955023807056
